I,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,11
M,0.555,0.455,0.135,0.837,0.382,0.171,0.235,9
I,0.55,0.425,0.145,0.89,0.4325,0.171,0.236,10
M,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8
F,0.555,0.42,0.11,0.931,0.4445,0.171,0.225,8
I,0.62,0.47,0.155,0.966,0.447,0.171,0.284,11
M,0.53,0.425,0.155,0.7905,0.307,0.171,0.2595,9
F,0.49,0.385,0.16,0.656,0.2455,0.171,0.205,9
F,0.525,0.415,0.15,0.7155,0.2355,0.171,0.27,13
M,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12
F,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,9
F,0.6,0.455,0.145,0.8895,0.419,0.1715,0.269,10
I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8
M,0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105,8
I,0.575,0.45,0.13,0.8145,0.403,0.1715,0.213,10
F,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9
F,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13
F,0.61,0.45,0.13,0.8725,0.389,0.1715,0.272,11
M,0.535,0.405,0.14,0.818,0.402,0.1715,0.189,7
M,0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455,10
F,0.475,0.375,0.125,0.588,0.237,0.1715,0.155,10
I,0.575,0.44,0.125,0.8515,0.4555,0.1715,0.1965,9
F,0.595,0.44,0.135,0.964,0.5005,0.1715,0.2575,10
F,0.555,0.44,0.14,0.846,0.346,0.1715,0.2735,10
F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9
M,0.52,0.385,0.115,0.669,0.2385,0.172,0.205,12
I,0.57,0.445,0.145,0.7405,0.306,0.172,0.1825,12
M,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,8
F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14
F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12
M,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,16
F,0.54,0.42,0.14,0.805,0.369,0.1725,0.21,11
I,0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286,9
I,0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,9
F,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10
M,0.525,0.425,0.19,0.872,0.4625,0.1725,0.199,9
M,0.58,0.455,0.13,0.852,0.41,0.1725,0.225,8
M,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,14
M,0.475,0.37,0.125,0.655,0.266,0.1725,0.185,10
F,0.525,0.42,0.16,0.756,0.2745,0.173,0.275,9
F,0.525,0.415,0.14,0.724,0.3475,0.173,0.175,8
M,0.58,0.43,0.13,0.798,0.365,0.173,0.2285,10
M,0.575,0.475,0.145,0.857,0.3665,0.173,0.269,9
F,0.58,0.45,0.195,0.8265,0.4035,0.173,0.225,9
F,0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,9
M,0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,9
I,0.56,0.435,0.13,0.777,0.354,0.173,0.222,9
M,0.53,0.41,0.125,0.769,0.346,0.173,0.215,9
M,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,19
M,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,11
I,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,12
F,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12
M,0.565,0.43,0.15,0.831,0.4245,0.1735,0.219,10
F,0.565,0.44,0.135,0.83,0.393,0.1735,0.238,9
M,0.55,0.43,0.16,0.9295,0.317,0.1735,0.355,13
F,0.625,0.49,0.145,0.92,0.437,0.1735,0.28,10
F,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13
I,0.52,0.425,0.17,0.6805,0.28,0.174,0.195,10
M,0.505,0.405,0.14,0.875,0.2665,0.174,0.285,12
I,0.605,0.435,0.13,0.9025,0.432,0.174,0.26,11
M,0.57,0.455,0.155,0.832,0.3585,0.174,0.277,11
M,0.59,0.475,0.155,0.857,0.356,0.174,0.28,13
I,0.55,0.465,0.15,0.936,0.481,0.174,0.2435,9
F,0.55,0.435,0.14,0.745,0.347,0.174,0.2265,9
M,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,13
I,0.54,0.415,0.135,0.709,0.3195,0.174,0.185,9
I,0.59,0.445,0.135,0.7715,0.328,0.1745,0.23,9
F,0.57,0.425,0.13,0.782,0.3695,0.1745,0.1965,8
F,0.525,0.43,0.165,0.717,0.289,0.1745,0.195,10
M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,19
F,0.55,0.43,0.125,0.923,0.4035,0.175,0.283,8
F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
F,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765,10
M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10
I,0.555,0.45,0.175,0.738,0.304,0.1755,0.22,9
F,0.515,0.4,0.17,0.796,0.258,0.1755,0.28,16
M,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10
I,0.555,0.43,0.15,0.783,0.345,0.1755,0.247,9
F,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24,10
M,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,18
M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,10
I,0.55,0.425,0.15,0.7665,0.339,0.176,0.21,8
I,0.575,0.45,0.135,0.807,0.3615,0.176,0.254,10
M,0.585,0.43,0.16,0.955,0.3625,0.176,0.27,11
M,0.615,0.485,0.215,0.9615,0.422,0.176,0.29,11
I,0.55,0.415,0.15,0.7915,0.3535,0.176,0.236,10
M,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,15
M,0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,10
F,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8
I,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,9
I,0.535,0.455,0.14,1.0015,0.53,0.1765,0.244,9
M,0.595,0.465,0.15,0.919,0.4335,0.1765,0.262,9
M,0.58,0.45,0.14,0.824,0.3465,0.1765,0.263,10
F,0.6,0.45,0.14,0.837,0.37,0.177,0.2425,10
M,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13
I,0.54,0.41,0.135,0.7025,0.31,0.177,0.2,8
M,0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,9
F,0.545,0.41,0.14,0.7405,0.3565,0.1775,0.203,9
F,0.605,0.455,0.145,0.9775,0.468,0.1775,0.275,9
M,0.505,0.4,0.155,0.8415,0.2715,0.1775,0.285,12
F,0.625,0.475,0.13,0.8595,0.3195,0.1775,0.24,13
F,0.545,0.42,0.175,0.754,0.256,0.1775,0.275,10
I,0.565,0.43,0.135,0.8545,0.321,0.1775,0.275,11
M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15
F,0.55,0.445,0.155,0.9905,0.544,0.178,0.218,9
F,0.595,0.47,0.155,1.121,0.4515,0.178,0.155,11
I,0.485,0.385,0.13,0.568,0.2505,0.178,0.154,7
I,0.56,0.44,0.155,0.811,0.3685,0.178,0.235,11
F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13
M,0.505,0.38,0.13,0.656,0.227,0.1785,0.22,13
I,0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,10
M,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,12
I,0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,11
F,0.565,0.445,0.125,0.8305,0.3135,0.1785,0.23,11
M,0.565,0.44,0.115,0.9185,0.404,0.1785,0.29,11
F,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,12
F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
I,0.515,0.4,0.12,0.659,0.2705,0.179,0.17,13
M,0.505,0.385,0.145,0.6775,0.236,0.179,0.2,15
F,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,15
F,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,12
I,0.56,0.445,0.165,0.832,0.3455,0.179,0.279,9
F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10
F,0.55,0.415,0.135,0.775,0.302,0.179,0.26,23
M,0.575,0.47,0.165,0.853,0.292,0.179,0.35,16
F,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,10
M,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11
M,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,14
F,0.595,0.465,0.145,0.7955,0.3425,0.1795,0.2425,10
M,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15
F,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9
F,0.575,0.425,0.15,0.8765,0.455,0.18,0.228,8
M,0.625,0.49,0.12,0.8765,0.456,0.18,0.233,10
M,0.535,0.44,0.165,0.875,0.279,0.18,0.3,10
I,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,9
M,0.505,0.39,0.105,0.6555,0.2595,0.18,0.19,11
M,0.52,0.385,0.165,0.791,0.375,0.18,0.1815,10
M,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,15
M,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,8
I,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,9
F,0.54,0.42,0.14,0.8035,0.38,0.1805,0.21,9
F,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265,12
F,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,10
M,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,12
M,0.58,0.46,0.13,0.921,0.357,0.181,0.29,13
F,0.49,0.38,0.145,0.6725,0.249,0.181,0.21,10
M,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,14
M,0.515,0.425,0.145,0.9365,0.497,0.181,0.2185,8
F,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,13
I,0.54,0.4,0.145,0.757,0.315,0.181,0.215,11
M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14
F,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,9
M,0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955,8
M,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7
M,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9
I,0.54,0.43,0.17,0.836,0.3725,0.1815,0.24,9
F,0.535,0.425,0.135,0.771,0.3765,0.1815,0.1795,8
F,0.58,0.445,0.145,0.888,0.41,0.1815,0.2425,8
